,College Name,New_name
32301,T.P. College,T.P. College
32302,T.P.College of Education ,T.P.College of Education 
32303,T.P.s. College,T.P.s. College
32304,T.P.S. INSTITUTE OF HIGHER EDUCATION CHIRORI,T.P.S. INSTITUTE OF HIGHER EDUCATION CHIRORI
32305,T.R. Abhilashi Memorial Institute of Engg. & Technology,T.R. Abhilashi Memorial Institute of Engg.  Technology
32306,T.R. COLLEGE OF EDUCATION ,T.R. COLLEGE OF EDUCATION 
32307,T.R.C. LAW COLLEGE,T.R.C. LAW COLLEGE
32308,T.R.Girls College,T.R.Girls College
32309,T.R.R. & S. Degree College ,T.R.R.  S. Degree College 
32310,T.R.R. Govt. Degree College ,T.R.R. Govt. Degree College 
32311,T.S. College,T.S. College
32312,T.S. Homoeopathy College,T.S. Homoeopathy College
32313,T.S. Paul Manipur Women's College ,T.S. Paul Manipur Womens College 
32314,T.S.I. Mahila College,T.S.I. Mahila College
32315,T.S.M. College of Education ,T.S.M. College of Education 
32316,T.S.M. Jain College of Technology ,T.S.M. Jain College of Technology 
32317,T.S.P.S.M.S.C.M. MANAGULI ARTS COLLEGE,T.S.P.S.M.S.C.M. MANAGULI ARTS COLLEGE
32318,T.S.R & E.R.R.GOVT. DEGREE COLLEGE ,T.S.R  E.R.R.GOVT. DEGREE COLLEGE 
32319,T.S.S COLLEGE ,T.S.S COLLEGE 
32320,T.T. College ,T.T. College 
32321,T.T.Mahavidyalaya,T.T.Mahavidyalaya
32322,T.V.M. College of Education ,T.V.M. College of Education 
32323,T.V.M. College of Pharmacy ,T.V.M. College of Pharmacy 
32324,Taawish College of Education ,Taawish College of Education 
32325,TADAR TANIANG GOVERNMENT COLLEGE,TADAR TANIANG GOVERNMENT COLLEGE
32326,Tadikela Subbaiah College of Nursing ,Tadikela Subbaiah College of Nursing 
32327,Tadipatri Engineering College,Tadipatri Engineering College
32328,Tagore Arts College ,Tagore Arts College 
32329,Tagore B.Ed. COllege,Tagore B.Ed. COllege
32330,Tagore Balika Mahavi.,Tagore Balika Mahavi.
32331,Tagore Biotech College,Tagore Biotech College
32332,Tagore College,Tagore College
32333,TAGORE COLLEGE FOR EDUCATION ,TAGORE COLLEGE FOR EDUCATION 
32334,TAGORE COLLEGE OF ARTS AND SCIENCE ,TAGORE COLLEGE OF ARTS AND SCIENCE 
32335,Tagore College of Educaiton ,Tagore College of Educaiton 
32336,Tagore College of Education,Tagore College of Education
