,College Name,New_name
5820,CITY ACADEMY DEGREE COLLEGE,CITY ACADEMY DEGREE COLLEGE
5821,CITY ACADEMY LAW COLLEGE,CITY ACADEMY LAW COLLEGE
5822,City C. U. Shah Commerce College ,City C. U. Shah Commerce College 
5823,CITY CENTRE OF MANAGEMENT & INFORMATION TECHNOLOGY JABALPUR ,CITY CENTRE OF MANAGEMENT  INFORMATION TECHNOLOGY JABALPUR 
5824,City college,City college
5825,City College ,City College 
5826,City College of Arts & Commerce ,City College of Arts  Commerce 
5827,City College of Commerce & Business Administration ,City College of Commerce  Business Administration 
5828,City College of Education,City College of Education
5829,City College of Education ,City College of Education 
5830,CITY COLLEGE OF MANAGEMENT,CITY COLLEGE OF MANAGEMENT
5831,CITY COLLEGE OF MANAGEMENT AND TECHNOLOGY,CITY COLLEGE OF MANAGEMENT AND TECHNOLOGY
5832,City College of MLT ,City College of MLT 
5833,City College of Nursing ,City College of Nursing 
5834,City Degree College,City Degree College
5835,City Engineering College,City Engineering College
5836,CITY INSTITUTE OF IT & PROFESSIONAL STUDIES KATNI ,CITY INSTITUTE OF IT  PROFESSIONAL STUDIES KATNI 
5837,City Law College ,City Law College 
5838,CITY MODEL COLLEGE,CITY MODEL COLLEGE
5839,CITY PUBLIC DEGREE COLLEGE,CITY PUBLIC DEGREE COLLEGE
5840,CITY PUBLIC MAHILA DEGREE COLLEGE,CITY PUBLIC MAHILA DEGREE COLLEGE
5841,CITY PULSE INSTI. OF FILM & TELEVISION ,CITY PULSE INSTI. OF FILM  TELEVISION 
5842,City women College of Engineering & Technology ,City women College of Engineering  Technology 
5843,City Women's College,City Womens College
5844,Civil College,Civil College
5845,CKG MEMORIAL GOVT. COLLEGE,CKG MEMORIAL GOVT. COLLEGE
5846,CKM Arts & Science College,CKM Arts  Science College
5847,CKS Teja Institute of Dental Sciences & Research,CKS Teja Institute of Dental Sciences  Research
5848,CL Mahavidyalaya,CL Mahavidyalaya
5849,CLARCKSON INSTITUTE ,CLARCKSON INSTITUTE 
5850,Classic College of Law,Classic College of Law
5851,CLG Institute of Engg. & Technology,CLG Institute of Engg.  Technology
5852,CLUNY COLLEGE FOR WOMEN,CLUNY COLLEGE FOR WOMEN
5853,CM College of Pharmacy ,CM College of Pharmacy 
5854,CM Engineering College ,CM Engineering College 
5855,CM School of Business Management ,CM School of Business Management 
5856,CMA B.Ed. College,CMA B.Ed. College
5857,CMC Nursing College,CMC Nursing College
5858,CMCE Institute of Business Management ,CMCE Institute of Business Management 
5859,CMFs College of Physiotherapy,CMFs College of Physiotherapy
5860,CMH College of Education ,CMH College of Education 
5861,CMH College of Legal Studies ,CMH College of Legal Studies 
5862,CMI Degree College,CMI Degree College
5863,CMN College of Management,CMN College of Management
5864,CMR Centre for Business Studies,CMR Centre for Business Studies
5865,CMR Centre for Media Studies,CMR Centre for Media Studies
5866,CMR College of Engineering & Technology ,CMR College of Engineering  Technology 
5867,CMR College of pharmacy ,CMR College of pharmacy 
5868,CMR Engineering College ,CMR Engineering College 
5869,CMR Institute of Management Studies,CMR Institute of Management Studies
5870,CMR Institute of Technology ,CMR Institute of Technology 
5871,CMR Law School,CMR Law School
5872,CMR Technological Education Society Group of Institutions ,CMR Technological Education Society Group of Institutions 
5873,CMS,CMS
5874,CMS Academy of Management and Technology ,CMS Academy of Management and Technology 
5875,CMS College of Education ,CMS College of Education 
5876,CMS College of Engineering ,CMS College of Engineering 
5877,CMS College of Engineering and Technology ,CMS College of Engineering and Technology 
5878,CMS College of Science and Commerce ,CMS College of Science and Commerce 
5879,CMS Institute of Management Studies ,CMS Institute of Management Studies 
5880,CNB College,CNB College
5881,CNB College P.O. Bokakhat- 785612 ,CNB College P.O. Bokakhat  
5882,CND College,CND College
5883,CNK COLLEGE OF NURSING,CNK COLLEGE OF NURSING
5884,CNK Reddy Colleg of Busienss Mgt.,CNK Reddy Colleg of Busienss Mgt.
5885,CNK Reddy College of Pharmacy ,CNK Reddy College of Pharmacy 
5886,CNR Arts & Science College,CNR Arts  Science College
5887,COALFIELD COLLEGE,COALFIELD COLLEGE
5888,Coastal Institute of Technology & Management,Coastal Institute of Technology  Management
5889,COCHIN COLLEGE OF ENGINEERING & TECHNOLOGY,COCHIN COLLEGE OF ENGINEERING  TECHNOLOGY
5890,COCHIN INSTITUTE OF SCIENCE & TECHNOLOGY,COCHIN INSTITUTE OF SCIENCE  TECHNOLOGY
5891,Cochin University College of Engineering ,Cochin University College of Engineering 
5892,COER School of Management ,COER School of Management 
5893,COGNIZANT Degree College of Commerce & Science ,COGNIZANT Degree College of Commerce  Science 
5894,Coimbatore Institute of Engineering and Technology ,Coimbatore Institute of Engineering and Technology 
5895,Coimbatore Institute of Management and Technology ,Coimbatore Institute of Management and Technology 
5896,Coimbatore Institute of Technology ,Coimbatore Institute of Technology 
5897,COIMBATORE MEDICAL COLLEGE,COIMBATORE MEDICAL COLLEGE
5898,Colaco College of Management,Colaco College of Management
5899,Collage of Agriculture,Collage of Agriculture
5900,COLLEG OF PHARMACY AKLUJ TAL MALSIRAS. DIST.SOLAPUR ,COLLEG OF PHARMACY AKLUJ TAL MALSIRAS. DIST.SOLAPUR 
5901,College of Advance Computing,College of Advance Computing
5902,COLLEGE OF ADVANCE STUDIES ,COLLEGE OF ADVANCE STUDIES 
5903,COLLEGE OF ADVANCE TECHNOLOGY & SCIENCE ,COLLEGE OF ADVANCE TECHNOLOGY  SCIENCE 
5904,College of Agri Business Management ,College of Agri Business Management 
5905,College of Agri-Business Management,College of AgriBusiness Management
5906,College of Agribusiness Management ,College of Agribusiness Management 
5907,College of Agricultural,College of Agricultural
5908,College of Agricultural Biotechnology,College of Agricultural Biotechnology
5909,College of Agricultural Engineering,College of Agricultural Engineering
5910,College of Agricultural Engineering & Technology,College of Agricultural Engineering  Technology
5911,College of Agricultural Engineering & Technology ,College of Agricultural Engineering  Technology 
5912,College of Agricultural Engineering and Post Harvest Technology,College of Agricultural Engineering and Post Harvest Technology
5913,College of Agricultural Engineering and Technology- Junagadh ,College of Agricultural Engineering and Technology Junagadh 
5914,College of Agricultural Information Technology ,College of Agricultural Information Technology 
5915,COLLEGE OF AGRICULTURAL TECHNOLOGY,COLLEGE OF AGRICULTURAL TECHNOLOGY
5916,College of Agriculture,College of Agriculture
5917,College of Agriculture ,College of Agriculture 
5918,College of Agriculture - Junagadh ,College of Agriculture  Junagadh 
5919,College of Agriculture Business Management ,College of Agriculture Business Management 
5920,COLLEGE OF AGRICULTURE ENGINEERING JALGAON JAMOD ,COLLEGE OF AGRICULTURE ENGINEERING JALGAON JAMOD 
5921,College of Agril. Engineering,College of Agril. Engineering
5922,COLLEGE OF ALIED SCIENCE & COMPUTER APPLICATION SITHOLI ,COLLEGE OF ALIED SCIENCE  COMPUTER APPLICATION SITHOLI 
5923,COLLEGE OF APPLIED EDU. & HEALTH SCIENCE GANGOTRI,COLLEGE OF APPLIED EDU.  HEALTH SCIENCE GANGOTRI
5924,College of Applied Science,College of Applied Science
5925,College of Applied Science ,College of Applied Science 
5926,College of Applied Science & Professional Studies ,College of Applied Science  Professional Studies 
5927,College of Applied Science IHRD,College of Applied Science IHRD
5928,College of Applied Science- Neruvambram-Payyanur ,College of Applied Science NeruvambramPayyanur 
5929,COLLEGE OF APPLIED SCIENCES,COLLEGE OF APPLIED SCIENCES
5930,COLLEGE OF ARCHITECTURE,COLLEGE OF ARCHITECTURE
5931,COLLEGE OF ARCHITECTURE S NO 631A F.P .NO. 34 UJJANI COLONY OLD KUMATA NAKA. DIST SOLAPUR 413003 ,COLLEGE OF ARCHITECTURE S NO A F.P .NO.  UJJANI COLONY OLD KUMATA NAKA. DIST SOLAPUR  
5932,College of Architecture Shivaji Peth,College of Architecture Shivaji Peth
5933,College of Art ,College of Art 
5934,College of Art & Design ,College of Art  Design 
5935,COLLEGE OF ART AND CRAFT,COLLEGE OF ART AND CRAFT
5936,College of Arts,College of Arts
5937,College of Arts & Commerce ,College of Arts  Commerce 
5938,College of Arts & Craft ,College of Arts  Craft 
5939,College of Ayur. & Research Centre,College of Ayur.  Research Centre
5940,College of Ayurved,College of Ayurved
5941,COLLEGE OF AYURVEDIK MEDISION & HOSPITAL ,COLLEGE OF AYURVEDIK MEDISION  HOSPITAL 
5942,College of B.P.T. ,College of B.P.T. 
5943,College of Basic Science & Humanities,College of Basic Science  Humanities
5944,College of Basic Science & Huminities ,College of Basic Science  Huminities 
5945,College of Basic Sciences & Humanities ,College of Basic Sciences  Humanities 
5946,College of Biotechnology ,College of Biotechnology 
5947,College of Business Administration,College of Business Administration
5948,College of Business Administration ,College of Business Administration 
5949,COLLEGE OF BUSINESS ADMINISTRATION UNJHA ,COLLEGE OF BUSINESS ADMINISTRATION UNJHA 
5950,College of Business Management,College of Business Management
5951,College of Business Management ,College of Business Management 
5952,COLLEGE OF BUSINESS STUDIES,COLLEGE OF BUSINESS STUDIES
5953,College of Commerce ,College of Commerce 
5954,College of Computer and Management Studies and Research,College of Computer and Management Studies and Research
5955,College of computer Science,College of computer Science
5956,COLLEGE OF COMPUTER STUDIES MSCIT VADU ,COLLEGE OF COMPUTER STUDIES MSCIT VADU 
5957,COLLEGE OF COMPUTERS & COMMUNICATION JABALPUR ,COLLEGE OF COMPUTERS  COMMUNICATION JABALPUR 
5958,College of Co-Operation Banking & Management,College of CoOperation Banking  Management
5959,College of Dairy Science & Technology ,College of Dairy Science  Technology 
5960,College of Dairy Technology,College of Dairy Technology
5961,College of Dairy Technology ,College of Dairy Technology 
5962,College of Defence Management ,College of Defence Management 
5963,COLLEGE OF DENTAL SCIENCE AND RESEARCH CENTRE,COLLEGE OF DENTAL SCIENCE AND RESEARCH CENTRE
5964,College of Dental Sciences ,College of Dental Sciences 
5965,College of Dental Sciences & Hospital,College of Dental Sciences  Hospital
5966,College of Ed. Boko ,College of Ed. Boko 
5967,College of Edu. Christianbasti ,College of Edu. Christianbasti 
5968,College of Education,College of Education
5969,COLLEGE OF EDUCATION & TECH.,COLLEGE OF EDUCATION  TECH.
5970,COLLEGE OF EDUCATION A-2/1 BULANDSHAHAR INDL. AREA,COLLEGE OF EDUCATION A BULANDSHAHAR INDL. AREA
5971,COLLEGE OF EDUCATION BASPA ,COLLEGE OF EDUCATION BASPA 
5972,COLLEGE OF EDUCATION BILASPUR ,COLLEGE OF EDUCATION BILASPUR 
5973,COLLEGE OF EDUCATION CHHAPI ,COLLEGE OF EDUCATION CHHAPI 
5974,College of Education Pantacha Kot,College of Education Pantacha Kot
5975,COLLEGE OF EDUCATION SHAMLAJI ,COLLEGE OF EDUCATION SHAMLAJI 
5976,COLLEGE OF EDUCATION VADASMA ,COLLEGE OF EDUCATION VADASMA 
5977,COLLEGE OF EDUCATION VIDHYANAGARI ,COLLEGE OF EDUCATION VIDHYANAGARI 
5978,College of Education. Kavaratti ,College of Education. Kavaratti 
5979,COLLEGE OF EDUCTION BARSHI 413411 DIST. SOLAPUR ,COLLEGE OF EDUCTION BARSHI  DIST. SOLAPUR 
5980,College of Engg.,College of Engg.
5981,College of Engg. and Management,College of Engg. and Management
5982,College of Engineering,College of Engineering
5983,College of Engineering ,College of Engineering 
5984,College of Engineering & Technology,College of Engineering  Technology
5985,College of Engineering & Technology Pattan,College of Engineering  Technology Pattan
5986,College of Engineering and Management,College of Engineering and Management
5987,COLLEGE OF ENGINEERING AND RURAL TECHNOLOGY,COLLEGE OF ENGINEERING AND RURAL TECHNOLOGY
5988,COLLEGE OF ENGINEERING AND TECH.,COLLEGE OF ENGINEERING AND TECH.
5989,COLLEGE OF ENGINEERING AND TECHNOLOGY,COLLEGE OF ENGINEERING AND TECHNOLOGY
5990,College of Engineering for Women ,College of Engineering for Women 
5991,COLLEGE OF ENGINEERING GOPALPUR RANJANI ROAD GOPALPUR PANDHARPUR-413304 ,COLLEGE OF ENGINEERING GOPALPUR RANJANI ROAD GOPALPUR PANDHARPUR 
5992,College of Engineering Roorkee ,College of Engineering Roorkee 
5993,COLLEGE OF ENGINEERING SCIENCE AND TECHNOLOGY,COLLEGE OF ENGINEERING SCIENCE AND TECHNOLOGY
5994,COLLEGE OF ENGINEERING VIRAG TAL BARSHI. DIST-SOLAPUR ,COLLEGE OF ENGINEERING VIRAG TAL BARSHI. DISTSOLAPUR 
5995,College of Fine Arts,College of Fine Arts
5996,COLLEGE OF FINE ARTS ,COLLEGE OF FINE ARTS 
5997,College of Fisheries,College of Fisheries
5998,College of Fisheries ,College of Fisheries 
5999,College of Fisheries Science ,College of Fisheries Science 
6000,College of Fisheries Sciences- Veraval ,College of Fisheries Sciences Veraval 
6001,College of Fishery Science,College of Fishery Science
6002,College of Fishery Sciences,College of Fishery Sciences
6003,COLLEGE OF FISHRIES ,COLLEGE OF FISHRIES 
6004,College of Food and Dairy Technology,College of Food and Dairy Technology
6005,College of Food Processing & Bio Energy ,College of Food Processing  Bio Energy 
6006,College of Food Science and Technology,College of Food Science and Technology
6007,College of Food Technology,College of Food Technology
6008,College of food Technology ,College of food Technology 
6009,COLLEGE OF FORESTRY,COLLEGE OF FORESTRY
6010,College of Forestry ,College of Forestry 
6011,College of Forestry & Hill Agriculture ,College of Forestry  Hill Agriculture 
6012,COLLEGE OF GANDHIAN THOUGHT ,COLLEGE OF GANDHIAN THOUGHT 
6013,College of Home Science,College of Home Science
6014,College of Home Science ,College of Home Science 
6015,College of Home Science Nirmala Niketan 38 New Marine Lines Mumbai - 400 020 ,College of Home Science Nirmala Niketan  New Marine Lines Mumbai    
6016,College of Horticultural/ Mojerla ,College of Horticultural Mojerla 
6017,College of Horticultural/ Rajendranagar ,College of Horticultural Rajendranagar 
6018,College of Horticulture,College of Horticulture
6019,College of Horticulture ,College of Horticulture 
6020,College of Horticulture and Forestry,College of Horticulture and Forestry
6021,COLLEGE OF HORTICULTURE AND FORESTRY ,COLLEGE OF HORTICULTURE AND FORESTRY 
6022,College of Humanities and Social Sciences ,College of Humanities and Social Sciences 
6023,College of Indigenous Food Technology,College of Indigenous Food Technology
6024,College of Information Tech. & Applied Social Science Bilaspur ,College of Information Tech.  Applied Social Science Bilaspur 
6025,COLLEGE OF INFORMATION TECHNOLOGY 38 A KNOWLEDGE PARK I GREATER NOIDA ,COLLEGE OF INFORMATION TECHNOLOGY  A KNOWLEDGE PARK I GREATER NOIDA 
6026,COLLEGE OF INNOVATIVE MANAGEMENT AND SCIENCE,COLLEGE OF INNOVATIVE MANAGEMENT AND SCIENCE
6027,College of Languages ,College of Languages 
6028,COLLEGE OF LAW & LEGAL,COLLEGE OF LAW  LEGAL
6029,College of Law for Women ,College of Law for Women 
6030,College of Library and Information Science,College of Library and Information Science
6031,COLLEGE OF LIFE SCIENCE CENTER HOSPITAL AND RESEARCH INSTITUTE ,COLLEGE OF LIFE SCIENCE CENTER HOSPITAL AND RESEARCH INSTITUTE 
6032,College of Life Sciences,College of Life Sciences
6033,College of Life Sciences ,College of Life Sciences 
6034,College of Management ,College of Management 
6035,College of Management And Computer Science,College of Management And Computer Science
6036,College of Management and Computer Technology,College of Management and Computer Technology
6037,College of Management and Technology,College of Management and Technology
6038,College of Management Khamgaon ,College of Management Khamgaon 
6039,COLLEGE OF MANAGEMENT SCIENCE,COLLEGE OF MANAGEMENT SCIENCE
6040,COLLEGE OF MANAGEMENT STUDIES,COLLEGE OF MANAGEMENT STUDIES
6041,College of Material Management,College of Material Management
6042,College of Medical Technologists College of Physiotherapy ,College of Medical Technologists College of Physiotherapy 
6043,College of Medicine and J N M Hospital,College of Medicine and J N M Hospital
6044,College of medicine and Sagar Dutta Hospital ,College of medicine and Sagar Dutta Hospital 
6045,College of Military Engineering,College of Military Engineering
6046,College of Military Engineering ,College of Military Engineering 
6047,College of Non Conventional Courses for Women,College of Non Conventional Courses for Women
6048,College of Nurisng,College of Nurisng
6049,College of Nursing,College of Nursing
6050,College of Nursing ,College of Nursing 
6051,COLLEGE OF NURSING APOLLO HOSPITAL,COLLEGE OF NURSING APOLLO HOSPITAL
6052,COLLEGE OF NURSING E M S MEMORIAL CO OPERATIVE HOSPITAL AND RESEARCH CENTRE ,COLLEGE OF NURSING E M S MEMORIAL CO OPERATIVE HOSPITAL AND RESEARCH CENTRE 
6053,College of Nursing Education,College of Nursing Education
6054,COLLEGE OF NURSING HARISH HOSPITAL,COLLEGE OF NURSING HARISH HOSPITAL
6055,College of Nursing Kannur Medical College,College of Nursing Kannur Medical College
6056,COLLEGE OF NURSING RAWATPURA SARKAR ,COLLEGE OF NURSING RAWATPURA SARKAR 
6057,COLLEGE OF NURSING SCIENCE & RESEARCH ,COLLEGE OF NURSING SCIENCE  RESEARCH 
6058,COLLEGE OF OCCUPATIONAL THERAPHY,COLLEGE OF OCCUPATIONAL THERAPHY
6059,College of Paramedical Sciences,College of Paramedical Sciences
6060,College of Pharmaceuital Sciences,College of Pharmaceuital Sciences
6061,COLLEGE OF PHARMACEUTICAL SCIENCE,COLLEGE OF PHARMACEUTICAL SCIENCE
6062,College of Pharmaceutical Sciences,College of Pharmaceutical Sciences
6063,College of Pharmaceutical Sciences ,College of Pharmaceutical Sciences 
6064,COLLEGE OF PHARMACY,COLLEGE OF PHARMACY
6065,College of Pharmacy Hanuman Nagar,College of Pharmacy Hanuman Nagar
6066,COLLEGE OF PHARMACY JULE SOLAPUR BIJAPUR ROAD SOLAPUR ,COLLEGE OF PHARMACY JULE SOLAPUR BIJAPUR ROAD SOLAPUR 
6067,College of Physical Education,College of Physical Education
6068,College of Physical Education ,College of Physical Education 
6069,COLLEGE OF PHYSIOTHERAPHY,COLLEGE OF PHYSIOTHERAPHY
6070,College of Physiotherapy,College of Physiotherapy
6071,College of Physiotherapy ,College of Physiotherapy 
6072,College of Post Graduate Studies,College of Post Graduate Studies
6073,College of Post-Graduate Studies ,College of PostGraduate Studies 
6074,College of Poultry Production and Management,College of Poultry Production and Management
6075,COLLEGE OF PROFESSIONAL EDUCATION A-1/1,COLLEGE OF PROFESSIONAL EDUCATION A
6076,COLLEGE OF PROFESSIONAL STUDIES,COLLEGE OF PROFESSIONAL STUDIES
6077,College of Renewable Energy & Environmental Engineering ,College of Renewable Energy  Environmental Engineering 
6078,COLLEGE OF RURAL HOME SCIENCE,COLLEGE OF RURAL HOME SCIENCE
6079,College of Science & Technology ,College of Science  Technology 
6080,College of Sciences ,College of Sciences 
6081,College of Social Work ,College of Social Work 
6082,College of Social Work Nirmala Niketan 38 New Marine Lines Mumbai - 400 020 ,College of Social Work Nirmala Niketan  New Marine Lines Mumbai    
6083,College of Special Education Indraprastha ,College of Special Education Indraprastha 
6084,College of Teacher Education,College of Teacher Education
6085,College of Teacher Education ,College of Teacher Education 
6086,College of Teacher Education P.O Golaghat ,College of Teacher Education P.O Golaghat 
6087,College of Teacher Education P.O.Tulsiram Road Tinsukia-786125 ,College of Teacher Education P.O.Tulsiram Road Tinsukia 
6088,College of Technology ,College of Technology 
6089,College of Veterinary & Animal Sciences,College of Veterinary  Animal Sciences
6090,College of Veterinary & Animal Sciences ,College of Veterinary  Animal Sciences 
6091,College of Veterinary and Animal Science,College of Veterinary and Animal Science
6092,College of Veterinary Science,College of Veterinary Science
6093,College of Veterinary Science ,College of Veterinary Science 
6094,College of Veterinary Science & Animal Husbandary ,College of Veterinary Science  Animal Husbandary 
6095,College of Veterinary Science & Animal Husbandry,College of Veterinary Science  Animal Husbandry
6096,College of Veterinary Science & Animal Husbandry ,College of Veterinary Science  Animal Husbandry 
6097,College of Veterinary Science and Animal Husbandary- Junagadh ,College of Veterinary Science and Animal Husbandary Junagadh 
6098,College of Veterinary Sciences ,College of Veterinary Sciences 
6099,College of Veterinary sciences & Animal Husbandry,College of Veterinary sciences  Animal Husbandry
6100,College of Veterinary Sciences & Animal Husbandry ,College of Veterinary Sciences  Animal Husbandry 
6101,COLLEGE OF VETRINARY SCEINCE & ANIMAL HUSBANDARY ,COLLEGE OF VETRINARY SCEINCE  ANIMAL HUSBANDARY 
6102,College of Visual Arts,College of Visual Arts
6103,College of Vocational Studies ,College of Vocational Studies 
6104,College og Agriculture,College og Agriculture
6105,Colloge of Basic Sciences & Humanities ,Colloge of Basic Sciences  Humanities 
6106,Colombia College,Colombia College
6107,Colonel College of Education,Colonel College of Education
6108,Colonel Degree College for Women,Colonel Degree College for Women
6109,Colonel Fateh Jung College,Colonel Fateh Jung College
6110,Columbia College of Pharmacy Raipur ,Columbia College of Pharmacy Raipur 
6111,Columbia Institute of Engineering and Technology Bhurkoni,Columbia Institute of Engineering and Technology Bhurkoni
6112,Columbia Institute of Pharmacy Raipur ,Columbia Institute of Pharmacy Raipur 
6113,Com. Point Institute of Technology,Com. Point Institute of Technology
6114,Combined P.G Institute of Medical Sciences and Research,Combined P.G Institute of Medical Sciences and Research
6115,Command Hospital,Command Hospital
6116,Command Hospital ,Command Hospital 
6117,Command Hospital Western Command Chandimandir,Command Hospital Western Command Chandimandir
6118,Commander,Commander
6119,COMMANDER A S BHADAURIA MAHILA MAHAVIDHYALAYA,COMMANDER A S BHADAURIA MAHILA MAHAVIDHYALAYA
6120,Commerce College,Commerce College
6121,COMMERCE COLLEGE SATNA ,COMMERCE COLLEGE SATNA 
6122,COMM-IT Career Academy ,COMMIT Career Academy 
6123,COMMITS,COMMITS
6124,Communite Aid and Sponsorship Programme C.A.S.P.,Communite Aid and Sponsorship Programme C.A.S.P.
6125,Community Institute of Commerce & Management Studies,Community Institute of Commerce  Management Studies
6126,Community Institute of Management Studies,Community Institute of Management Studies
6127,Compect College ,Compect College 
6128,Comp-Feeders Takniki Prashikshan Sansthan College,CompFeeders Takniki Prashikshan Sansthan College
6129,COMP-FEEDERS TAKNIKI PRASHIKSHAN SANSTHAN INDORE ,COMPFEEDERS TAKNIKI PRASHIKSHAN SANSTHAN INDORE 
6130,COMPOSITE REGIONAL CENTRE,COMPOSITE REGIONAL CENTRE
6131,Comprehensive Rural Health Project Institute of Training and Research in Community Health and Population,Comprehensive Rural Health Project Institute of Training and Research in Community Health and Population
6132,COMP-TECH DEGREE COLLEGE DHAMTARI ,COMPTECH DEGREE COLLEGE DHAMTARI 
6133,COMP-TECH TRUST SAWAI MADHOPUR ,COMPTECH TRUST SAWAI MADHOPUR 
6134,Compucom Inst. of Infor. Tech. & Mgt.,Compucom Inst. of Infor. Tech.  Mgt.
6135,Compucom Institute of Information Technology & Management,Compucom Institute of Information Technology  Management
6136,Compucom Institutes of Information Technology,Compucom Institutes of Information Technology
6137,Computer Application Centre,Computer Application Centre
6138,COMPUTER APPLICATION CENTRE HERITAGE INSTITUTE OF TECHNOLOGY 303 ,COMPUTER APPLICATION CENTRE HERITAGE INSTITUTE OF TECHNOLOGY  
6139,COMPUTER CORNER EDUCATIONAL SOCIETY,COMPUTER CORNER EDUCATIONAL SOCIETY
6140,Computer Maintenance Corporation Ltd. ,Computer Maintenance Corporation Ltd. 
6141,COMPUTER MANTHAN ,COMPUTER MANTHAN 
6142,COMPUTER POINT BHOPAL ,COMPUTER POINT BHOPAL 
6143,Computer Training Institute ,Computer Training Institute 
6144,COMPUTER.NET SAGAR ,COMPUTER.NET SAGAR 
6145,COMTECH INFOSYS BHILWARA ,COMTECH INFOSYS BHILWARA 
6146,Confluence College of Higher Education,Confluence College of Higher Education
6147,Consortium of minorities associations CMA Arts and Commerce Degree college for womenC.M.A Career Management Academy,Consortium of minorities associations CMA Arts and Commerce Degree college for womenC.M.A Career Management Academy
6148,Conspi Academy of Management Studies,Conspi Academy of Management Studies
6149,Continental College of Higher Studies,Continental College of Higher Studies
6150,Continental Institute of Engg. & Technology,Continental Institute of Engg.  Technology
6151,COOCH BEHAR B ED COLLEGE,COOCH BEHAR B ED COLLEGE
6152,COOCHBEHAR COLLEGE,COOCHBEHAR COLLEGE
6153,Co-Operative Arts & Science College,CoOperative Arts  Science College
6154,Co-operative College of Education ,Cooperative College of Education 
6155,CO-OPERATIVE COLLEGE OF NURSING ,COOPERATIVE COLLEGE OF NURSING 
6156,CO-OPERATIVE COMPUTER & MANAGEMENT TRANING CENTRE BHOPAL ,COOPERATIVE COMPUTER  MANAGEMENT TRANING CENTRE BHOPAL 
6157,Cooperative Degree College,Cooperative Degree College
6158,Co-Operative Institute of Technology ,CoOperative Institute of Technology 
6159,Coorg Institute of Dental Sciences Virajpet ,Coorg Institute of Dental Sciences Virajpet 
6160,Coorg Institute of Technology,Coorg Institute of Technology
6161,Coral Academy of Computer and Management ,Coral Academy of Computer and Management 
6162,CORAL INSTITUTE OF INFORMATION TECHNOLOGY HARDOI ,CORAL INSTITUTE OF INFORMATION TECHNOLOGY HARDOI 
6163,Cordia College,Cordia College
6164,Cordia Institute of Business Management,Cordia Institute of Business Management
6165,CORIDA HOSPITALITY AND TOURISM MANAGEMENT INSTITUTE SANGHOL ,CORIDA HOSPITALITY AND TOURISM MANAGEMENT INSTITUTE SANGHOL 
6166,Cornell Institute of Information Technology ,Cornell Institute of Information Technology 
6167,Cornell Institute of Science & Technology ,Cornell Institute of Science  Technology 
6168,Corporate Institute of Research & Technology,Corporate Institute of Research  Technology
6169,Corporate Institute of Science & Technology,Corporate Institute of Science  Technology
6170,Cosmic College of Education ,Cosmic College of Education 
6171,Cosmopolitan College of Education ,Cosmopolitan College of Education 
6172,Cosmopolitans Vallia ChhaganlalLaljibhai College of Commerce and Valia Lilavantiben Chhaganlal College of Arts D N Nagar J P Road Andheri West Mumbai 400 058 ,Cosmopolitans Vallia ChhaganlalLaljibhai College of Commerce and Valia Lilavantiben Chhaganlal College of Arts D N Nagar J P Road Andheri West Mumbai   
6173,COSMOS COLLEGE OF EDUCATION VILLAGE-MOHIYAPUR,COSMOS COLLEGE OF EDUCATION VILLAGEMOHIYAPUR
6174,Cotton College ,Cotton College 
6175,Cotton technological research laboratory ,Cotton technological research laboratory 
6176,Council for Analytical Tribal Studies,Council for Analytical Tribal Studies
6177,CP and Berar Arts Commerce College ,CP and Berar Arts Commerce College 
6178,CP Patel & HF Shah Commerce College,CP Patel  HF Shah Commerce College
6179,CPA COLLEGE OF ARTS AND SCIENCE,CPA COLLEGE OF ARTS AND SCIENCE
6180,CPMS COLLEGE OF NURSING,CPMS COLLEGE OF NURSING
6181,CPS COLLEGE BADAGAON ,CPS COLLEGE BADAGAON 
6182,CR ENGINEERING COLLEGE,CR ENGINEERING COLLEGE
6183,CRC TT College,CRC TT College
6184,Creative Computer ,Creative Computer 
6185,Creative Educational Society's College of Pharmacy,Creative Educational Societys College of Pharmacy
6186,Crescent B.Ed college ,Crescent B.Ed college 
6187,Crescent College of Education,Crescent College of Education
6188,CRESCENT COLLEGE OF EDUCATION ,CRESCENT COLLEGE OF EDUCATION 
6189,Crescent College of Education for Women ,Crescent College of Education for Women 
6190,Crescent College of management,Crescent College of management
6191,Crescent College of Nursing,Crescent College of Nursing
6192,CRESCENT COLLEGE OF NUSING,CRESCENT COLLEGE OF NUSING
6193,Crescent College of Pharmaceutical Sciences,Crescent College of Pharmaceutical Sciences
6194,Crescent College of Technology,Crescent College of Technology
6195,Crescent First Grade College for Women,Crescent First Grade College for Women
6196,CRESCENT Institute of Management Studies,CRESCENT Institute of Management Studies
6197,Cresent College of Education,Cresent College of Education
6198,Crist College,Crist College
6199,Crossland College,Crossland College
6200,CRSS Jagudan ,CRSS Jagudan 
6201,CRV Institute of Technology & Science ,CRV Institute of Technology  Science 
6202,CSB ARTS,CSB ARTS
6203,CSI Bishop Newbigin College of Education ,CSI Bishop Newbigin College of Education 
6204,CSI College of Education,CSI College of Education
6205,CSI College of Education ,CSI College of Education 
6206,CSI College of Engineering ,CSI College of Engineering 
6207,CSI COLLEGE OF NURSING,CSI COLLEGE OF NURSING
6208,CSI COLLEGE OF NURSING ,CSI COLLEGE OF NURSING 
6209,CSI Degree College,CSI Degree College
